method,average_delay,average_reward,average_drop_rate,average_offload_rate,target_action_agreement,nano_calls,nano_call_reduction_rate,pc_repeat_calls,pc_repeat_call_reduction_rate,nano_safety_interrupt_count,pc_repeat_safety_interrupt_count,round_trip_ms_per_step,nano_infer_ms_per_step
No-skip,195.81970833333332,-0.9790985416666665,0.21041666666666667,0.770875,0.9984999895095825,6000.0,0.0,,,,,47.86864076721637,1.3216733495027408
Safety-aware,195.99691666666666,-0.9799845833333334,0.212625,0.769625,0.9643333554267883,4767.0,0.20550000000000002,4754.0,0.20766666666666667,4121.0,4104.0,28.003654684114736,0.9098063790005426
Relaxed safety,197.37316666666666,-0.9868658333333333,0.20425,0.7836666666666666,0.9261666536331177,2815.0,0.5308333333333333,2838.0,0.527,1713.0,1727.0,18.229386767120257,0.5034387084959538
No-safety,197.185375,-0.985926875,0.207875,0.7794583333333334,0.8964999914169312,1780.0,0.7033333333333334,1792.0,0.7013333333333334,0.0,0.0,12.19734555030785,0.41060953499694125
