metric,student_hil,teacher_hil,diff_student_minus_teacher,relative_diff
Average reward,-0.9790985416666665,-0.9788297916666667,-0.00026874999999981775,-0.0002745625463056386
Average delay,195.81970833333332,195.76595833333334,0.053749999999979536,0.00027456254630572023
Drop rate,0.21041666666666667,0.21070833333333333,-0.0002916666666666623,-0.0013842198932173019
Offload rate,0.770875,0.7701666666666667,0.0007083333333333108,0.0009197143475437924
Agreement with teacher,0.9984999895095825,1.0,-0.0015000104904174805,-0.0015000104904174805
