policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std
local,-248.64374999999976,0.002500000000026148,248.64375,0.0024999999999977263,0.81,0.0,0.0,0.0,4.94694095492363,0.001597663164139007
offload,-165.85062499999998,0.878124999999983,165.85062499999998,0.8781249999999972,0.06687499999999999,0.004374999999999997,1.0,0.0,0.5905130037665367,0.0006315857172012329
greedy,-181.12250000000003,0.5374999999999943,181.1225,0.5374999999999943,0.5856250000000001,0.0018750000000000155,0.2675,0.0,4.53618487805128,0.002934772074222547
