policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std
mappo,-152.918475,2.2920423246801107,152.918475,2.2920423246801103,0.1997,0.011134293870740072,0.7787999999999999,0.014931008003480536,1.7137967144429682,0.10960752003188472
pruned_mappo,-153.1752,2.1944588792000705,153.17520000000002,2.1944588792000648,0.209275,0.011118930928825843,0.758025,0.013910629928223959,1.9045920243322851,0.10993605683026451
distilled_mappo,-152.92492499999997,2.28605711884568,152.924925,2.2860571188456764,0.20002499999999998,0.010972949694589873,0.7784749999999999,0.014222099880116156,1.7187947519391775,0.10725962466125642
offload,-164.6763,3.202972193525873,164.6763,3.20297219352588,0.067,0.008015609770940698,1.0,0.0,0.5935857180804014,0.008867307804991674
greedy,-180.72400000000002,1.0517699071089694,180.724,1.0517699071089663,0.5842499999999999,0.0035619517121937504,0.2659,0.0012257650672131257,4.565387753880024,0.03006478851471063
