episode,step,target_agent_id,pc_repeat_agent_id,nano_action,nano_called,nano_skip_used,nano_repeat_raw,nano_repeat_slots,nano_remaining_before,nano_remaining_after,nano_safety_interrupted,nano_interrupt_reason,nano_infer_ms,round_trip_ms,pc_repeat_action,pc_repeat_called,pc_repeat_skip_used,pc_repeat_repeat_raw,pc_repeat_repeat_slots,pc_repeat_remaining_before,pc_repeat_remaining_after,pc_repeat_safety_interrupted,pc_repeat_interrupt_reason,pc_repeat_infer_ms,pc_regular_agent_ids,pc_regular_infer_ms,teacher_action_target,target_action_match,reward,delay,drop,offload_rate,joint_actions
0,23,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9950709342956543,5,1,5,1,energy_low,0.17200002912431955,"[2, 3]",0.17929996829479933,1,1,-0.24125,48.25,0.0,1.0,"[1, 1, 1, 1]"
0,24,0,1,1,0,1,,,4,3,0,,,,1,1,0,0.9986070394515991,5,5,5,1,energy_low,0.16559998039156199,"[2, 3]",0.1770999515429139,1,1,-0.24875,49.75,0.0,1.0,"[1, 1, 1, 1]"
0,25,0,1,1,1,0,0.994294285774231,5,3,5,1,energy_low,1.2768480000886484,23.152000037953258,1,1,0,0.9869016408920288,5,5,5,1,energy_low|queue_pressure|obs_changed,0.3554000286385417,"[2, 3]",0.2460000105202198,1,1,-0.25625,51.25,0.0,1.0,"[1, 1, 1, 1]"
0,26,0,1,1,1,0,0.9796074628829956,5,5,5,1,energy_low,0.6522809999296442,9.146800031885505,1,1,0,0.9878373742103577,5,5,5,1,energy_low|obs_changed,0.22369995713233948,"[2, 3]",0.3926000790670514,1,1,-0.26375,52.75,0.0,1.0,"[1, 1, 1, 1]"
0,27,0,1,1,1,0,0.9974924325942993,5,5,5,1,energy_low,1.2975810000170895,10.727399960160255,1,1,0,1.0019359588623047,5,5,5,1,energy_low,0.30700000934302807,"[2, 3]",0.19910000264644623,1,1,-0.57875,115.75,0.25,1.0,"[1, 1, 1, 1]"
0,28,0,1,1,1,0,0.9920498728752136,5,5,5,1,energy_low,1.6878769999948418,13.920399942435324,1,1,0,1.0028314590454102,5,5,5,1,energy_low,0.3564999205991626,"[2, 3]",0.23809995036572218,1,1,-0.27875,55.75,0.0,1.0,"[1, 1, 1, 1]"
0,29,0,1,1,1,0,0.9922399520874023,5,5,5,1,energy_low,1.3430609999431908,21.408600034192204,1,1,0,0.9988174438476562,5,5,5,1,queue_pressure|obs_changed,0.40120002813637257,"[2, 3]",0.3085000207647681,1,1,-0.28875,57.75,0.0,1.0,"[1, 1, 1, 1]"
0,30,0,1,1,1,0,0.9885576963424683,5,5,5,1,energy_low,1.2903400001960108,12.18019996304065,1,0,1,,,5,4,0,,,"[2, 3]",0.2845999551936984,1,1,-0.29625,59.25,0.0,1.0,"[1, 1, 1, 1]"
0,31,0,1,1,1,0,0.9884606003761292,5,5,5,1,energy_low|queue_pressure|obs_changed,1.2937789999796223,10.837600100785494,1,1,0,0.9967679977416992,5,4,5,1,energy_low|obs_changed,0.36289996933192015,"[2, 3]",0.23879995569586754,1,1,-0.60125,120.25,0.25,1.0,"[1, 1, 1, 1]"
0,32,0,1,1,1,0,1.006533145904541,5,5,5,1,queue_pressure,1.6607350000867882,241.11280008219182,1,1,0,0.9880810379981995,5,5,5,1,energy_low,0.3200999926775694,"[2, 3]",0.2172000240534544,1,1,-0.30625,61.25,0.0,1.0,"[1, 1, 1, 1]"
0,33,0,1,1,1,0,0.9721677303314209,5,5,5,1,obs_changed,1.399010999875827,10.868900106288493,1,1,0,0.9958090782165527,5,5,5,1,energy_low,0.268799951300025,"[2, 3]",0.1996000064536929,1,1,-0.60875,121.75,0.25,1.0,"[1, 1, 1, 1]"
0,34,0,1,1,1,0,1.0137885808944702,5,5,5,1,energy_low,1.4777779999803897,20.107299904339015,1,0,1,,,5,4,0,,,"[2, 3]",0.38950005546212196,1,1,-0.31875,63.75,0.0,1.0,"[1, 1, 1, 1]"
0,35,0,1,1,1,0,0.989763081073761,5,5,5,1,energy_low,1.2952899999163492,14.808999956585467,1,1,0,1.0313479900360107,5,4,5,1,energy_low|obs_changed,0.35850005224347115,"[2, 3]",0.24019996635615826,1,1,-0.32875,65.75,0.0,1.0,"[1, 1, 1, 1]"
0,36,0,1,1,1,0,1.0056692361831665,5,5,5,1,energy_low,1.6331750000517786,13.395700021646917,1,0,1,,,5,4,0,,,"[2, 3]",0.3664999967440963,1,1,-0.33625,67.25,0.0,1.0,"[1, 1, 1, 1]"
0,37,0,1,1,0,1,,,5,4,0,,,,1,0,1,,,4,3,0,,,"[2, 3]",0.2242999617010355,1,1,-0.3475,69.5,0.0,1.0,"[1, 1, 1, 1]"
0,38,0,1,1,1,0,1.0245037078857422,5,4,5,1,energy_low,1.2950790001013956,17.067000037059188,1,1,0,0.9980049133300781,5,3,5,1,energy_low|obs_changed,0.3155999584123492,"[2, 3]",0.23640005383640528,1,1,-0.6425,128.5,0.25,1.0,"[1, 1, 1, 1]"
0,39,0,1,1,1,0,1.0020372867584229,5,5,5,1,energy_low,1.7535140000290994,10.88239997625351,1,1,0,1.0025978088378906,5,5,5,1,energy_low,0.2981000579893589,"[2, 3]",0.23340003099292517,1,1,-0.36125,72.25,0.0,1.0,"[1, 1, 1, 1]"
0,40,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9836899638175964,5,5,5,1,energy_low,0.20080001559108496,"[2, 3]",0.21770002786070108,1,1,-0.36625,73.25,0.0,1.0,"[1, 1, 1, 1]"
0,41,0,1,1,1,0,1.0027167797088623,5,4,5,1,energy_low,1.2878889999683452,11.492899968288839,1,1,0,0.9860637187957764,5,5,5,1,energy_low|queue_pressure|obs_changed,0.2172000240534544,"[2, 3]",0.21950004156678915,1,1,-0.935,187.0,0.5,1.0,"[1, 1, 1, 1]"
0,42,0,1,1,1,0,0.9884634017944336,5,5,5,1,obs_changed,1.2740329998450761,10.220699943602085,1,1,0,1.0034434795379639,5,5,5,1,queue_pressure,0.30179996974766254,"[2, 3]",0.1990000018849969,1,1,-0.3775,75.5,0.0,1.0,"[1, 1, 1, 1]"
0,43,0,1,1,1,0,0.9814397096633911,5,5,5,1,obs_changed,1.6596909999861964,70.1795999193564,1,1,0,0.9952631592750549,5,5,5,1,obs_changed,0.4589000018313527,"[2, 3]",0.40060002356767654,1,1,-0.38875,77.75,0.0,1.0,"[1, 1, 1, 1]"
0,44,0,1,1,1,0,0.9872391819953918,5,5,5,1,energy_low,1.7167869998502283,41.83290002401918,1,1,0,0.9892897605895996,5,5,5,1,energy_low,0.30839990358799696,"[2, 3]",0.20610005594789982,1,1,-0.395,79.0,0.0,1.0,"[1, 1, 1, 1]"
0,45,0,1,1,1,0,0.9987537860870361,5,5,5,1,queue_pressure|obs_changed,1.3018509998801164,15.320100006647408,1,1,0,1.0022910833358765,5,5,5,1,energy_low|queue_pressure|obs_changed,0.2723999787122011,"[2, 3]",0.19509997218847275,1,1,-0.4025,80.5,0.0,1.0,"[1, 1, 1, 1]"
0,46,0,1,1,1,0,0.9989498853683472,5,5,5,1,energy_low|obs_changed,2.0503509999798553,12.04529998358339,1,1,0,0.9859299659729004,5,5,5,1,energy_low|obs_changed,0.30800001695752144,"[2, 3]",0.23490004241466522,1,1,-0.41375,82.75,0.0,1.0,"[1, 1, 1, 1]"
0,47,0,1,1,1,0,0.9870998859405518,5,5,5,1,energy_low,1.797586000066076,17.68139994237572,1,1,0,0.9839965105056763,5,5,5,1,energy_low,0.30830001924186945,"[2, 3]",0.19950000569224358,1,1,-0.69,138.0,0.25,1.0,"[1, 1, 1, 1]"
0,48,0,1,1,1,0,1.0030630826950073,5,5,5,1,queue_pressure|obs_changed,1.3013819998377585,24.070800049230456,1,1,0,0.9984409809112549,5,5,5,1,queue_pressure|obs_changed,0.3163999645039439,"[2, 3]",0.19920000340789557,1,1,-0.4225,84.5,0.0,1.0,"[1, 1, 1, 1]"
0,49,0,1,1,1,0,0.9875568151473999,5,5,5,1,energy_low|obs_changed,1.2808569999833708,11.038299999199808,1,1,0,0.991549551486969,5,5,5,1,energy_low|obs_changed,0.3826000029221177,"[2, 3]",0.2983999438583851,1,1,-0.4375,87.5,0.0,1.0,"[1, 1, 1, 1]"
0,50,0,1,1,1,0,0.9846141338348389,5,5,5,1,energy_low,1.262518999965323,22.344700060784817,1,1,0,0.9946615695953369,5,5,5,1,energy_low,0.3736000508069992,"[2, 3]",0.2498000394552946,1,1,-0.445,89.0,0.0,1.0,"[1, 1, 1, 1]"
0,51,0,1,1,1,0,1.014660120010376,5,5,5,1,energy_low|queue_pressure|obs_changed,1.2936729999637464,10.410599992610514,1,1,0,0.9939321279525757,5,5,5,1,energy_low|obs_changed,0.37350005004554987,"[2, 3]",0.2498000394552946,1,1,-0.70875,141.75,0.25,1.0,"[1, 1, 1, 1]"
0,52,0,1,1,1,0,0.9827004671096802,5,5,5,1,energy_low|obs_changed|channel_drop,1.2566329999117443,10.305800009518862,1,1,0,0.9829645156860352,5,5,5,1,energy_low,0.3570000408217311,"[2, 3]",0.24910003412514925,1,1,-0.45375,90.75,0.0,1.0,"[1, 1, 1, 1]"
0,53,0,1,1,1,0,1.0010415315628052,5,5,5,1,energy_low|queue_pressure|obs_changed,1.2845559999732359,88.3713000221178,1,1,0,0.9881006479263306,5,5,5,1,energy_low,0.3035999834537506,"[2, 3]",0.1970999874174595,1,1,-0.46,92.0,0.0,1.0,"[1, 1, 1, 1]"
0,54,0,1,1,1,0,0.9940027594566345,5,5,5,1,energy_low|obs_changed,1.320292999935191,18.408100004307926,1,1,0,1.0026633739471436,5,5,5,1,queue_pressure|obs_changed,0.3146999515593052,"[2, 3]",0.19869999960064888,1,1,-0.46375,92.75,0.0,1.0,"[1, 1, 1, 1]"
0,55,0,1,1,1,0,0.9943623542785645,5,5,5,1,energy_low|obs_changed,1.2978919999113714,12.045599985867739,1,1,0,0.9847996830940247,5,5,5,1,obs_changed,0.27920003049075603,"[2, 3]",0.19339995924383402,1,1,-0.47125,94.25,0.0,1.0,"[1, 1, 1, 1]"
0,56,0,1,1,1,0,0.9984403252601624,5,5,5,1,queue_pressure,1.2924220000058995,15.424799988977611,1,0,1,,,5,4,0,,,"[2, 3]",0.37969998084008694,1,1,-0.4825,96.5,0.0,1.0,"[1, 1, 1, 1]"
0,57,0,1,1,1,0,0.9933680891990662,5,5,5,1,energy_low,1.287733000026492,13.381000026129186,1,1,0,0.9930621385574341,5,4,5,1,energy_low,0.31020003370940685,"[2, 3]",0.197600107640028,1,1,-0.49125,98.25,0.0,1.0,"[1, 1, 1, 1]"
0,58,0,1,1,1,0,0.9898386001586914,5,5,5,1,energy_low,1.9961719999628258,23.42400001361966,1,1,0,1.0062108039855957,5,5,5,1,energy_low|queue_pressure|obs_changed,0.3507999936118722,"[2, 3]",0.24039996787905693,1,1,-0.49625,99.25,0.0,1.0,"[1, 1, 1, 1]"
0,59,0,1,1,1,0,0.9981614947319031,5,5,5,1,queue_pressure|obs_changed,1.2923179999688728,15.17749996855855,1,1,0,0.9984703660011292,5,5,5,1,energy_low|obs_changed,0.35099999513477087,"[2, 3]",0.23939996026456356,1,1,-0.50125,100.25,0.0,1.0,"[1, 1, 1, 1]"
0,60,0,1,1,1,0,0.9830338358879089,5,5,5,1,energy_low|obs_changed,1.294036999979653,247.4808000260964,1,1,0,0.9918462038040161,5,5,5,1,energy_low,0.304899993352592,"[2, 3]",0.19019993487745523,1,1,-0.7575,151.5,0.25,1.0,"[1, 1, 1, 1]"
0,61,0,1,1,1,0,1.0031204223632812,5,5,5,1,energy_low,2.172982000047341,29.418300022371113,1,0,1,,,5,4,0,,,"[2, 3]",0.34110003616660833,1,1,-0.51625,103.25,0.0,1.0,"[1, 1, 1, 1]"
0,62,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9879599213600159,5,4,5,1,energy_low,0.17140002455562353,"[2, 3]",0.18209998961538076,1,1,-0.5275,105.5,0.0,1.0,"[1, 1, 1, 1]"
0,63,0,1,1,0,1,,,4,3,0,,,,1,1,0,0.9853602051734924,5,5,5,1,energy_low,0.16599998343735933,"[2, 3]",0.17929996829479933,1,1,-0.77625,155.25,0.25,1.0,"[1, 1, 1, 1]"
0,64,0,1,1,1,0,0.9821934103965759,5,3,5,1,energy_low,1.3116449999870383,12.893399922177196,1,1,0,1.004900336265564,5,5,5,1,queue_pressure|obs_changed,0.3225000109523535,"[2, 3]",0.23699994198977947,1,1,-0.5425,108.5,0.0,1.0,"[1, 1, 1, 1]"
0,65,0,1,1,1,0,0.9923772811889648,5,5,5,1,energy_low,1.3210219999564288,37.618900067172945,1,1,0,0.9929291009902954,5,5,5,1,obs_changed,0.3073000116273761,"[2, 3]",0.19399996381253004,1,1,-0.55375,110.75,0.0,1.0,"[1, 1, 1, 1]"
0,66,0,1,1,1,0,1.0013563632965088,5,5,5,1,energy_low|obs_changed,1.3253990000521298,10.465600062161684,1,0,1,,,5,4,0,,,"[2, 3]",0.3325999714434147,1,1,-0.795,159.0,0.25,1.0,"[1, 1, 1, 1]"
0,67,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9954038858413696,5,4,5,1,energy_low,0.16840000171214342,"[2, 3]",0.18039997667074203,1,1,-0.56375,112.75,0.0,1.0,"[1, 1, 1, 1]"
0,68,0,1,1,1,0,1.0075664520263672,5,4,5,1,energy_low,0.656812000215723,7.931100088171661,1,1,0,0.9935119152069092,5,5,5,1,obs_changed,0.30910002533346415,"[2, 3]",0.20519993267953396,1,1,-0.57375,114.75,0.0,1.0,"[1, 1, 1, 1]"
0,69,0,1,1,1,0,1.0102276802062988,5,5,5,1,energy_low,1.2781999998878746,17.16439996380359,1,1,0,0.9891313314437866,5,5,5,1,energy_low|obs_changed,0.300800078548491,"[2, 3]",0.1957999775186181,1,1,-0.58125,116.25,0.0,1.0,"[1, 1, 1, 1]"
0,70,0,1,1,1,0,0.9975380897521973,5,5,5,1,energy_low,1.6883949999737524,15.468300087377429,1,1,0,1.0026284456253052,5,5,5,1,queue_pressure|obs_changed,0.282399938441813,"[2, 3]",0.19440008327364922,1,1,-0.815,163.0,0.25,1.0,"[1, 1, 1, 1]"
0,71,0,1,1,0,1,,,5,4,0,,,,1,1,0,1.0097154378890991,5,5,5,1,energy_low|obs_changed,0.1650999765843153,"[2, 3]",0.17819995991885662,1,1,-0.59375,118.75,0.0,1.0,"[1, 1, 1, 1]"
0,72,0,1,1,0,1,,,4,3,0,,,,1,1,0,0.9899458289146423,5,5,5,1,energy_low,0.16569998115301132,"[2, 3]",0.17660006415098906,1,1,-0.82625,165.25,0.25,1.0,"[1, 1, 1, 1]"
0,73,0,1,1,1,0,0.9911603927612305,5,3,5,1,obs_changed,1.6976160000012896,12.175400042906404,1,1,0,1.0035783052444458,5,5,5,1,obs_changed,0.30999991577118635,"[2, 3]",0.19639998208731413,1,1,-0.6125,122.5,0.0,1.0,"[1, 1, 1, 1]"
0,74,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9900770783424377,5,5,5,1,energy_low,0.16309996135532856,"[2, 3]",0.1778000732883811,1,1,-0.62125,124.25,0.0,1.0,"[1, 1, 1, 1]"
