"method","average_delay","average_reward","average_drop_rate","average_offload_rate","nano_calls","nano_call_reduction_rate","round_trip_ms_per_step","nano_infer_ms_per_step","target_action_agreement"
"No-skip HIL","195.81970833333332","-0.9790985416666665","0.21041666666666667","0.770875","6000","0","47.86864076721637","1.3216733495027408","0.9984999895095825"
"Safety-aware mixed skip","195.99691666666666","-0.9799845833333334","0.212625","0.769625","4767","0.20550000000000002","28.003654684114736","0.9098063790005426","0.9643333554267883"
"No-safety mixed skip","197.185375","-0.985926875","0.207875","0.7794583333333334","1780","0.7033333333333334","12.19734555030785","0.41060953499694125","0.8964999914169312"
