policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
local,-230.9937500000002,0.0,230.99375,0.0,0.74125,0.0,0.0,0.0,4.948538618087769,0.0,load_01,0.7,1050000.0,4200000.0,2.625
offload,-158.4825,0.0,158.4825,0.0,0.005,0.0,1.0,0.0,0.5911445894837379,0.0,load_01,0.7,1050000.0,4200000.0,2.625
local,-257.5087499999997,0.0,257.50875,0.0,0.84375,0.0,0.0,0.0,4.948538618087769,0.0,load_02,1.3,1950000.0,7800000.0,4.875
offload,-183.10875000000001,0.0,183.10875,0.0,0.18625,0.0,1.0,0.0,0.5911445894837379,0.0,load_02,1.3,1950000.0,7800000.0,4.875
