metric,no_skip,mixed_skip,diff_skip_minus_no_skip,relative_diff
Average reward,-0.9790985416666665,-0.9799845833333334,-0.0008860416666668369,-0.0009049565788940673
Average delay,195.81970833333332,195.99691666666666,0.17720833333333985,0.0009049565788939266
Drop rate,0.21041666666666667,0.212625,0.00220833333333334,0.010495049504950527
Offload rate,0.770875,0.769625,-0.0012499999999999734,-0.0016215339711366608
