policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std
mappo,-152.918475,2.2920423246801107,152.918475,2.2920423246801103,0.1997,0.011134293870740072,0.7787999999999999,0.014931008003480536,1.7137967144429682,0.10960752003188472
qmix,-155.29914999999997,2.846598709864093,155.29915,2.846598709864108,0.11549999999999999,0.008660254037844388,0.8868499999999999,0.015330198955003814,0.8161536888659002,0.09985192008437908
offload,-164.6763,3.202972193525873,164.6763,3.20297219352588,0.067,0.008015609770940698,1.0,0.0,0.5935857180804014,0.008867307804991674
greedy,-180.72400000000002,1.0517699071089694,180.724,1.0517699071089663,0.5842499999999999,0.0035619517121937504,0.2659,0.0012257650672131257,4.565387753880024,0.03006478851471063
local,-248.55169999999987,0.9992292579783468,248.5517,0.9992292579783691,0.8094500000000001,0.0037927562537025724,0.0,0.0,4.950408114886283,0.004165316486532927
random,-171.208825,1.7021591878038311,171.208825,1.7021591878038318,0.39792500000000003,0.014207414437539295,0.5012249999999999,0.017013762811324242,4.002206154799461,0.22825939195704523
