policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std
mappo,-155.00375000000005,0.0,155.00375,0.0,0.1925,0.0,0.78625,0.0,1.6313135252892972,0.0
pruned_p25,-154.72125,0.0,154.72125,0.0,0.205,0.0,0.75875,0.0,1.8447797881066799,0.0
distilled_p25,-155.00375000000005,0.0,155.00375,0.0,0.1925,0.0,0.78625,0.0,1.6313135252892972,0.0
offload,-166.72874999999996,0.0,166.72875,0.0,0.07125,0.0,1.0,0.0,0.5911445894837379,0.0
greedy,-181.66000000000003,0.0,181.66,0.0,0.5875,0.0,0.2675,0.0,4.539119650125503,0.0
local,-248.64624999999978,0.0,248.64625,0.0,0.81,0.0,0.0,0.0,4.948538618087769,0.0
random,-169.69000000000017,0.0,169.69,0.0,0.43125,0.0,0.46375,0.0,4.321006715297699,0.0
