episode,stage,load_factor,task_min_bits,task_max_bits,steps,episode_reward,reward_ma,episode_delay_mean,episode_drop_rate,episode_offload_rate,episode_energy_mean,actor_loss,critic_loss,entropy,total_loss
1,phase1,1.0,1500000.0,6000000.0,200,-172.05875000000003,-172.05875000000003,172.05875,0.38875,0.515,4.087300435304642,-0.011666037452717623,149.06409145536878,0.6926232207389105,74.51691727411179
2,phase1,1.0,1500000.0,6000000.0,200,-171.28624999999997,-171.6725,171.28625,0.43375,0.46125,4.434451106786728,-0.013013181853152457,73.88315166745868,0.6906542210351854,36.92510926155817
3,phase1,1.0,1500000.0,6000000.0,200,-169.7149999999999,-171.01999999999998,169.715,0.41125,0.48,4.069468550682068,-0.0023422218593103544,65.01199290865944,0.690413555928639,32.50020202000936
4,phase1,1.0,1500000.0,6000000.0,200,-170.1325000000001,-170.79812500000003,170.1325,0.4325,0.46125,4.313523536920547,0.00198784288728521,69.10375068301246,0.6906091783727918,34.55041049775623
5,phase1,1.0,1500000.0,6000000.0,200,-172.24125,-171.08675000000002,172.24125,0.3975,0.51,3.709905827641487,0.006863498949401435,70.49473853338333,0.6926369085198357,35.25076961517334
6,phase1,1.0,1500000.0,6000000.0,200,-172.51749999999996,-171.32520833333334,172.5175,0.415,0.4825,3.9244203305244447,0.003500143066048622,68.14473161243257,0.6928965066160474,34.0724021820795
7,phase1,1.0,1500000.0,6000000.0,200,-172.48625000000004,-171.49107142857142,172.48625,0.39375,0.50125,3.270765374302864,0.011327017209536973,63.69527417137509,0.6916067089353289,31.855506352015905
8,phase1,1.0,1500000.0,6000000.0,200,-171.74374999999998,-171.52265625,171.74375,0.43375,0.46,4.294664912223816,-0.004189637888755117,53.72991625467936,0.6913376251856486,26.857311362311954
9,phase1,1.0,1500000.0,6000000.0,200,-170.57250000000008,-171.41708333333335,170.5725,0.395,0.50375,3.8477266848087313,-0.01805527392952215,39.847045671372186,0.6896820522490001,19.902019182840984
10,phase1,1.0,1500000.0,6000000.0,200,-179.33,-172.208375,179.33,0.33625,0.58125,2.253193945288658,0.01303519279740396,32.70034690130325,0.6682572393190294,16.35986732301258
11,phase1,1.0,1500000.0,6000000.0,200,-178.84000000000003,-172.81125,178.84,0.275,0.66125,1.5498732855916024,0.0028558471461846715,36.49821222396124,0.6429815420082637,18.248746917361306
12,phase1,1.0,1500000.0,6000000.0,200,-178.85500000000005,-173.31489583333334,178.855,0.2725,0.66625,1.234695295393467,0.00994495368961777,36.37537819998605,0.662373002086367,18.194322290874663
13,phase1,1.0,1500000.0,6000000.0,200,-176.2487500000001,-173.54057692307694,176.24875,0.3275,0.59375,2.4596097871661184,0.004678545918847833,52.72833660670689,0.6550422239871252,26.36557149887085
