epoch,train_loss,train_agreement,val_loss,val_agreement
1.0,0.1120127113998359,0.9796681074385948,0.05265345424413681,0.9845703132450581
2.0,0.034812599962167706,0.9889018172067954,0.022114527877420187,0.98828125
3.0,0.015282327580060942,0.991572473488801,0.010629906202666461,0.989990234375
4.0,0.007692913039329838,0.9926058290698004,0.005912049469770864,0.991943359375
5.0,0.00460028076702927,0.9937112145390071,0.0038281481683952734,0.9936035163700581
6.0,0.0031464335554880454,0.9946226727032492,0.002756906600552611,0.9939697273075581
7.0,0.0023360688145212987,0.995093639015306,0.0021266769617795944,0.9944580085575581
8.0,0.0018332475294352423,0.9955673758865248,0.0017044156847987324,0.9948242194950581
9.0,0.0014950715431428336,0.9957890070921985,0.0014175641117617488,0.9951416030526161
10.0,0.0012508958672232768,0.9959469192416955,0.0012074391815986019,0.9955078139901161
11.0,0.0010759784573365452,0.9962184175531915,0.0010582236682239454,0.9956298843026161
12.0,0.0009415216912376753,0.9964539007092199,0.000941519218031317,0.9955078139901161
13.0,0.0008358066312882864,0.9965065379514761,0.0008505177283950616,0.9958740249276161
14.0,0.0007607419853319962,0.9968306739279564,0.0007744173490209505,0.9959960952401161
15.0,0.0006973205517369805,0.996866688660696,0.000732127813535044,0.9959960952401161
16.0,0.0006494319732284424,0.996866688660696,0.0006840091846243013,0.9961181655526161
17.0,0.0006070752380042607,0.9970495345744681,0.0006355502009682823,0.9961181655526161
18.0,0.0005849473975542669,0.9970052081642421,0.0006814431108068675,0.9961669929325581
19.0,0.00055037799777615,0.9971935947736105,0.0005762705641245702,0.9962402358651161
20.0,0.000527974696588828,0.9973182623268019,0.0005545173626160249,0.9959960952401161
21.0,0.0005094091870726238,0.9972628545253834,0.0005323358909663511,0.9967285171151161
22.0,0.0004941718952139139,0.9973542774822695,0.0005526618224394042,0.9958740249276161
23.0,0.00047867694384160826,0.9974512411347518,0.0005009067208447959,0.9964843764901161
24.0,0.00046374829521515006,0.9973819813829787,0.0004850018576689763,0.9966796860098839
25.0,0.00045151587972807174,0.9974373891843972,0.0004883110923401546,0.9968505874276161
26.0,0.00043669838564807273,0.9975121896317665,0.000461047640783363,0.9970458969473839
27.0,0.000428814282442661,0.9974290779296388,0.0004501775256358087,0.9963134750723839
28.0,0.0004168852312483739,0.9975343528368794,0.0004269572254997911,0.9968017563223839
29.0,0.0004035124940391471,0.9975066489361702,0.0004278216310922289,0.9965087883174419
30.0,0.00039831722912325767,0.9976451684397163,0.00040852876190911047,0.9966796860098839
