episode,step,target_agent_id,nano_action,teacher_action_target,action_match,repeat_pred,reward,delay,drop,offload_rate,nano_infer_ms,round_trip_ms,other_policy,joint_actions
0,37,0,1,1,1,0.9855480194091797,-0.3475,69.5,0.0,1.0,0.1459960001284344,234.27619994618,student,"[1, 1, 1, 1]"
0,38,0,1,1,1,1.0245037078857422,-0.6425,128.5,0.25,1.0,0.1495369999702234,67.36260000616312,student,"[1, 1, 1, 1]"
0,39,0,1,1,1,1.0020372867584229,-0.36125,72.25,0.0,1.0,0.12235799999871233,238.1732000503689,student,"[1, 1, 1, 1]"
0,40,0,1,1,1,0.9849761724472046,-0.36625,73.25,0.0,1.0,0.14620499996453873,11.801899992860854,student,"[1, 1, 1, 1]"
0,41,0,1,1,1,1.0027167797088623,-0.935,187.0,0.5,1.0,0.10668499999155756,5.401700036600232,student,"[1, 1, 1, 1]"
0,42,0,1,1,1,0.9884634017944336,-0.3775,75.5,0.0,1.0,0.09392900005877891,4.367499961517751,student,"[1, 1, 1, 1]"
0,43,0,1,1,1,0.9814397096633911,-0.38875,77.75,0.0,1.0,0.08950300002652511,47.34299995470792,student,"[1, 1, 1, 1]"
0,44,0,1,1,1,0.9872391819953918,-0.395,79.0,0.0,1.0,0.10038599998551945,9.304999955929816,student,"[1, 1, 1, 1]"
0,45,0,1,1,1,0.9987537860870361,-0.4025,80.5,0.0,1.0,0.09793899994292588,5.241299979388714,student,"[1, 1, 1, 1]"
0,46,0,1,1,1,0.9989498853683472,-0.41375,82.75,0.0,1.0,0.08830599995235389,4.356599994935095,student,"[1, 1, 1, 1]"
0,47,0,1,1,1,0.9870998859405518,-0.69,138.0,0.25,1.0,0.08351500014214253,75.61529998201877,student,"[1, 1, 1, 1]"
0,48,0,1,1,1,1.0030630826950073,-0.4225,84.5,0.0,1.0,0.14656899998044537,5.835400079376996,student,"[1, 1, 1, 1]"
0,49,0,1,1,1,0.9875568151473999,-0.4375,87.5,0.0,1.0,0.11657799996100948,92.62210002634674,student,"[1, 1, 1, 1]"
0,50,0,1,1,1,0.9846141338348389,-0.445,89.0,0.0,1.0,0.11100699998678465,4.813299980014563,student,"[1, 1, 1, 1]"
0,51,0,1,1,1,1.014660120010376,-0.70875,141.75,0.25,1.0,0.09543900000608119,4.3400999857112765,student,"[1, 1, 1, 1]"
0,52,0,1,1,1,0.9827004671096802,-0.45375,90.75,0.0,1.0,0.09085700003197417,7.755500031635165,student,"[1, 1, 1, 1]"
0,53,0,1,1,1,1.0010415315628052,-0.46,92.0,0.0,1.0,0.08502499986207113,4.90549998357892,student,"[1, 1, 1, 1]"
0,54,0,1,1,1,0.9940027594566345,-0.46375,92.75,0.0,1.0,0.0911170000108541,75.25400002487004,student,"[1, 1, 1, 1]"
0,55,0,1,1,1,0.9943623542785645,-0.47125,94.25,0.0,1.0,0.10392599983788386,248.016000026837,student,"[1, 1, 1, 1]"
0,56,0,1,1,1,0.9984403252601624,-0.4825,96.5,0.0,1.0,0.16343900006177137,6.162500008940697,student,"[1, 1, 1, 1]"
0,57,0,1,1,1,0.9933680891990662,-0.49125,98.25,0.0,1.0,0.1167870000244875,5.193799966946244,student,"[1, 1, 1, 1]"
0,58,0,1,1,1,0.9898386001586914,-0.49625,99.25,0.0,1.0,0.09783399991647457,44.39169995021075,student,"[1, 1, 1, 1]"
0,59,0,1,1,1,0.9981614947319031,-0.50125,100.25,0.0,1.0,1.4068030000089493,13.461499940603971,student,"[1, 1, 1, 1]"
0,60,0,1,1,1,0.9830338358879089,-0.7575,151.5,0.25,1.0,1.3225060001786915,11.217999970540404,student,"[1, 1, 1, 1]"
0,61,0,1,1,1,1.0031204223632812,-0.51625,103.25,0.0,1.0,1.2831960000312392,72.89279997348785,student,"[1, 1, 1, 1]"
0,62,0,1,1,1,0.9946326017379761,-0.5275,105.5,0.0,1.0,1.3012629999593628,14.760600053705275,student,"[1, 1, 1, 1]"
0,63,0,1,1,1,0.9966093301773071,-0.77625,155.25,0.25,1.0,1.659328999949139,96.90330002922565,student,"[1, 1, 1, 1]"
0,64,0,1,1,1,0.9821934103965759,-0.5425,108.5,0.0,1.0,1.3153729998975905,286.51030000764877,student,"[1, 1, 1, 1]"
0,65,0,1,1,1,0.9923772811889648,-0.55375,110.75,0.0,1.0,1.414043999830028,115.19629997201264,student,"[1, 1, 1, 1]"
0,66,0,1,1,1,1.0013563632965088,-0.795,159.0,0.25,1.0,1.364789000035671,10.813699918799102,student,"[1, 1, 1, 1]"
0,67,0,1,1,1,1.0032893419265747,-0.56375,112.75,0.0,1.0,1.2980900000911788,11.020999983884394,student,"[1, 1, 1, 1]"
0,68,0,1,1,1,1.0075664520263672,-0.57375,114.75,0.0,1.0,1.2768460001097992,45.84849998354912,student,"[1, 1, 1, 1]"
0,69,0,1,1,1,1.0102276802062988,-0.58125,116.25,0.0,1.0,3.0097509998086025,281.5044999588281,student,"[1, 1, 1, 1]"
0,70,0,1,1,1,0.9975380897521973,-0.815,163.0,0.25,1.0,1.4436700000715064,48.71040000580251,student,"[1, 1, 1, 1]"
0,71,0,1,1,1,0.9998825788497925,-0.59375,118.75,0.0,1.0,3.33642200007489,278.41540006920695,student,"[1, 1, 1, 1]"
0,72,0,1,1,1,0.9657284021377563,-0.82625,165.25,0.25,1.0,1.4349749999382766,34.48170004412532,student,"[1, 1, 1, 1]"
0,73,0,1,1,1,0.9911603927612305,-0.6125,122.5,0.0,1.0,1.380877999963559,259.0890000574291,student,"[1, 1, 1, 1]"
0,74,0,1,1,1,1.006181001663208,-0.62125,124.25,0.0,1.0,1.3670839998667361,11.257800040766597,student,"[1, 1, 1, 1]"
0,75,0,1,1,1,0.9945140480995178,-1.0625,212.5,0.5,1.0,1.3149110000085784,29.78610002901405,student,"[1, 1, 1, 1]"
0,76,0,1,1,1,1.0147371292114258,-0.84375,168.75,0.25,1.0,1.3019989999065729,14.027299941517413,student,"[1, 1, 1, 1]"
0,77,0,1,1,1,0.9773596525192261,-0.6375,127.5,0.0,1.0,0.6610489999729907,7.208799943327904,student,"[1, 1, 1, 1]"
0,78,0,1,1,1,0.9871471524238586,-0.64625,129.25,0.0,1.0,1.2826819997826533,13.466699980199337,student,"[1, 1, 1, 1]"
0,79,0,1,1,1,1.000245451927185,-0.65375,130.75,0.0,1.0,1.2816410001050826,9.430599980987608,student,"[1, 1, 1, 1]"
0,80,0,1,1,1,0.9878897666931152,-0.66375,132.75,0.0,1.0,3.0539120000412368,11.348400032147765,student,"[1, 1, 1, 1]"
0,81,0,1,1,1,1.0290319919586182,-0.67375,134.75,0.0,1.0,1.2587310000071739,10.483899968676269,student,"[1, 1, 1, 1]"
0,82,0,1,1,1,1.009460210800171,-0.68125,136.25,0.0,1.0,0.4636610001398367,11.032799957320094,student,"[1, 1, 1, 1]"
0,83,0,1,1,1,0.9969872236251831,-0.68625,137.25,0.0,1.0,1.3761950001480727,64.08929999452084,student,"[1, 1, 1, 1]"
0,84,0,1,1,1,1.0102427005767822,-0.69125,138.25,0.0,1.0,1.7311910000898934,11.175899999216199,student,"[1, 1, 1, 1]"
0,85,0,1,1,1,1.0146818161010742,-0.8975,179.5,0.25,1.0,2.313148999974146,13.028300018049777,student,"[1, 1, 1, 1]"
0,86,0,1,1,1,0.9740198850631714,-0.70375,140.75,0.0,1.0,1.2966880001386016,10.755400056950748,student,"[1, 1, 1, 1]"
0,87,0,1,1,1,1.0045231580734253,-0.71125,142.25,0.0,1.0,0.48802900005284755,8.345499983988702,student,"[1, 1, 1, 1]"
0,88,0,1,1,1,1.0303497314453125,-0.91125,182.25,0.25,1.0,2.2854490000554506,45.72319996077567,student,"[1, 1, 1, 1]"
0,89,0,1,1,1,1.0116581916809082,-0.71875,143.75,0.0,1.0,1.336364000053436,73.01860000006855,student,"[1, 1, 1, 1]"
0,90,0,1,1,1,1.018088936805725,-0.72875,145.75,0.0,1.0,1.716820999945412,87.61559997219592,student,"[1, 1, 1, 1]"
0,91,0,1,1,1,0.9865773916244507,-0.73625,147.25,0.0,1.0,1.3435480000225652,12.251999927684665,student,"[1, 1, 1, 1]"
0,92,0,1,1,1,1.0085574388504028,-0.74,148.0,0.0,1.0,1.3058520000868157,11.442000046372414,student,"[1, 1, 1, 1]"
0,93,0,1,1,1,1.0003750324249268,-0.7475,149.5,0.0,1.0,1.1076309999680234,13.713199994526803,student,"[1, 1, 1, 1]"
0,94,0,1,1,1,1.0005333423614502,-0.75875,151.75,0.0,1.0,2.3616759999640635,11.108799953944981,student,"[1, 1, 1, 1]"
0,95,0,1,1,1,1.006404161453247,-0.95,190.0,0.25,1.0,1.2929389999953855,44.62689999490976,student,"[1, 1, 1, 1]"
0,96,0,1,1,1,0.9913082122802734,-0.95375,190.75,0.25,1.0,1.3078829999813024,41.869400069117546,student,"[1, 1, 1, 1]"
0,97,0,1,1,1,1.035770297050476,-0.77625,155.25,0.0,1.0,1.5516109999680339,10.87670004926622,student,"[1, 1, 1, 1]"
0,98,0,1,1,1,1.0042343139648438,-0.78375,156.75,0.0,1.0,1.3016859998060681,10.066700051538646,student,"[1, 1, 1, 1]"
0,99,0,1,1,1,1.0015968084335327,-0.79,158.0,0.0,1.0,1.2895550000848743,11.15060003940016,student,"[1, 1, 1, 1]"
0,100,0,1,1,1,1.0128703117370605,-1.14625,229.25,0.5,1.0,1.280129999940982,12.642699992284179,student,"[1, 1, 1, 1]"
0,101,0,1,1,1,0.9965493083000183,-0.79875,159.75,0.0,1.0,1.38801399998556,9.394199936650693,student,"[1, 1, 1, 1]"
0,102,0,1,1,1,1.0176324844360352,-0.80875,161.75,0.0,1.0,1.2718000000404572,51.37270002160221,student,"[1, 1, 1, 1]"
