metric,pc_student,hil_nano,diff_hil_minus_pc,relative_diff
average_reward,-0.9790985416666665,-0.9790985416666665,0.0,0.0
average_delay,195.81970833333332,195.81970833333332,0.0,0.0
average_drop_rate,0.21041666666666667,0.21041666666666667,0.0,0.0
average_offload_rate,0.770875,0.770875,0.0,0.0
target_action_agreement,0.9984999895095825,0.9984999895095825,0.0,0.0
