case,delay_mean,delay_delta_vs_mappo,drop_rate_mean,drop_delta_vs_mappo,reward_mean,decision_count_mean,decision_saved_percent,agent_temporal_compression_ratio_mean,inference_call_count_mean,inference_saved_percent,inference_temporal_compression_ratio_mean,safety_interrupt_count_mean,predicted_repeat_mean,csv_path
Default safety,153.96980000000002,1.0513250000000198,0.201825,0.0021250000000000158,-153.9698,626.74,21.657499999999995,1.2770186160674049,195.8,2.0999999999999908,1.0215006590754923,547.72,3.267639385995434,temporal\results\compare_temporal\comparison_summary.csv
No safety,155.05757499999999,2.139099999999985,0.196975,-0.0027249999999999774,-155.05757499999999,229.96,71.255,3.4858755399916657,99.4,50.29999999999999,2.0184679818327265,0.0,2.4937645531714807,temporal\results\compare_temporal_no_safety\comparison_summary.csv
Relaxed safety,154.540425,1.6219499999999982,0.20787499999999998,0.008174999999999988,-154.540425,464.26,41.9675,1.7242755653038437,188.26,5.870000000000008,1.0625803234783178,321.02,3.4073816723860917,temporal\results\compare_temporal_relaxed_safety\comparison_summary.csv
