epoch,train_loss,train_action_loss,train_repeat_loss,train_agreement,train_repeat_mae,val_loss,val_action_loss,val_repeat_loss,val_agreement,val_repeat_mae,val_repeat_exact,val_repeat_pred_mean,val_repeat_target_mean
1.0,0.14621874013691083,0.022461752958780695,0.1237569881986219,0.9872007978723404,1.5132978723404256,0.0917832930572331,0.004844292809139006,0.08693900099024177,0.9927001968026161,1.1163818389177322,0.31867675855755806,3.2260253876447678,3.3368896543979645
2.0,0.08437751407953019,0.0027843049697657213,0.081593209071785,0.9949994459219859,1.0427914452045521,0.0790132419206202,0.0018209207119070925,0.07719232188537717,0.99560546875,0.9991943351924419,0.376953125,3.2154296934604645,3.3368896543979645
3.0,0.07209790471597766,0.0013484712822217468,0.0707494335130174,0.9964234262493485,0.9369514626814118,0.06581311882473528,0.00109430340671679,0.06471881573088467,0.9970703125,0.884765625,0.41572265699505806,3.2320556640625,3.3368896543979645
4.0,0.06001564839207534,0.0009262565513478315,0.059089391789537794,0.9972019060283688,0.8048093969940294,0.05512781208381057,0.0008083108623395674,0.054319501388818026,0.9971923828125,0.7418701164424419,0.4874267578125,3.3116699159145355,3.3368896543979645
5.0,0.0525096483951342,0.0007240375475413066,0.05178561088041211,0.9974152259792842,0.6968888517812635,0.050416646990925074,0.0006517952133435756,0.049764852272346616,0.99755859375,0.6635253913700581,0.5484619140625,3.3635497987270355,3.3368896543979645
6.0,0.04959666216415717,0.0006196823849174333,0.04897697980627946,0.9975343528368794,0.6449717418521854,0.048761386424303055,0.0005508960548468167,0.04821049049496651,0.997802734375,0.6345458999276161,0.5750976577401161,3.3587402403354645,3.3368896543979645
7.0,0.04859245309592984,0.0005393137889897701,0.0480531392790747,0.9977005762411347,0.6281804078859641,0.04816233552992344,0.00050737783749355,0.04765495774336159,0.998046875,0.6216308586299419,0.5884521491825581,3.3409423828125,3.3368896543979645
8.0,0.04807380174702786,0.0004781002041731849,0.04759570166257256,0.9977393615330364,0.6229277481424048,0.04771362408064306,0.0004417861455294769,0.04727183817885816,0.9981689453125,0.6196777336299419,0.5888671875,3.3669677674770355,3.3368896543979645
9.0,0.047729093079448594,0.00042895812286123476,0.047300134937391214,0.9978307844899225,0.6209302971549068,0.04741927911527455,0.0004251481259416323,0.04699413082562387,0.9979736320674419,0.6149414069950581,0.5921386703848839,3.3636474609375,3.3368896543979645
10.0,0.047480696825482324,0.00039493542243825626,0.04708576123131082,0.9979776152482269,0.6193262410502062,0.04717688728123903,0.0004021139320684597,0.046774773159995675,0.9979248046875,0.6203125007450581,0.5846923813223839,3.3604736328125,3.3368896543979645
11.0,0.04720523406533485,0.0003649753533676927,0.046840258629609506,0.9979637632978723,0.6182402482269503,0.046934587648138404,0.000345054086210439,0.046589533565565944,0.9984619133174419,0.6229736320674419,0.5809326171875,3.338134765625,3.3368896543979645
12.0,0.04699569525765189,0.0003400954856712318,0.04665559968838455,0.9979914671985816,0.6186197915821211,0.04670052416622639,0.00033525127946631983,0.046365272952243686,0.9982177726924419,0.6187988296151161,0.5837646499276161,3.3368896543979645,3.3368896543979645
13.0,0.04675404698396406,0.00032003026609209943,0.046434016805802676,0.9980801195963055,0.6175033242989939,0.04645252600312233,0.00033254021218454,0.04611998563632369,0.9980957023799419,0.6111328117549419,0.58935546875,3.3628173768520355,3.3368896543979645
14.0,0.04647105777675801,0.0003019000381084344,0.046169157754233546,0.9982601949509154,0.6157468971631206,0.046162046724930406,0.00029893384635215625,0.045863113133236766,0.9979736320674419,0.6114746108651161,0.5921386703848839,3.3224853575229645,3.3368896543979645
15.0,0.046192182135497424,0.0002743190687797065,0.04591786309231258,0.9983100620567376,0.6122645169285172,0.04588938434608281,0.0002622744623295148,0.045627110404893756,0.9983398430049419,0.6152587905526161,0.5857177749276161,3.3299804627895355,3.3368896543979645
16.0,0.04597030944646673,0.00025786236244342985,0.04571244699206758,0.9984347296099291,0.6132840205591621,0.04565963288769126,0.00024342458527826238,0.04541620868258178,0.9984619133174419,0.610107421875,0.5879882797598839,3.3480712920427322,3.3368896543979645
